state_code,county_code,county_name,state_name,geo_center
39,63,Hancock,Ohio,"41 0m 6.97815s N, 83 39m 59.5275s W"
51,179,Stafford,Virginia,"38 25m 14.5885s N, 77 27m 26.6414s W"
31,181,Webster,Nebraska,"40 10m 35.1596s N, 98 29m 59.8106s W"
48,127,Dimmit,Texas,"28 25m 21.1296s N, 99 45m 24.2141s W"
19,31,Cedar,Iowa,"41 46m 20.376s N, 91 7m 56.723s W"
46,39,Deuel,South Dakota,"44 45m 36.2086s N, 96 40m 4.70691s W"
19,89,Howard,Iowa,"43 21m 24.3624s N, 92 19m 1.91605s W"
12,99,Palm Beach,Florida,"26 38m 51.2324s N, 80 26m 11.4398s W"
36,89,St. Lawrence,New York,"44 29m 47.0477s N, 75 4m 8.22819s W"
46,25,Clark,South Dakota,"44 51m 29.714s N, 97 43m 46.1867s W"
31,57,Dundy,Nebraska,"40 10m 34.4468s N, 101 41m 16.6612s W"
8,3,Alamosa,Colorado,"37 34m 22.4153s N, 105 47m 17.8375s W"
12,17,Citrus,Florida,"28 50m 51.2509s N, 82 31m 12.3842s W"
45,89,Williamsburg,South Carolina,"33 37m 11.7318s N, 79 43m 39.7633s W"
55,127,Walworth,Wisconsin,"42 40m 6.55314s N, 88 32m 30.8547s W"
18,161,Union,Indiana,"39 37m 31.965s N, 84 55m 30.5113s W"
27,67,Kandiyohi,Minnesota,"45 9m 8.57644s N, 95 0m 17.0729s W"
23,29,Washington,Maine,"44 58m 10.0528s N, 67 36m 32.6142s W"
72,103,Naguabo,Puerto Rico,"18 12m 39.7096s N, 65 44m 9.94155s W"
37,93,Hoke,North Carolina,"35 1m 3.10443s N, 79 14m 14.2466s W"
27,161,Waseca,Minnesota,"44 1m 19.6452s N, 93 35m 14.2196s W"
16,49,Idaho,Idaho,"45 50m 39.1117s N, 115 28m 2.95432s W"
31,87,Hitchcock,Nebraska,"40 10m 34.8489s N, 101 2m 32.1807s W"
30,11,Carter,Montana,"45 31m 0.324757s N, 104 32m 10.1707s W"
38,5,Benson,North Dakota,"48 4m 9.82925s N, 99 21m 57.6469s W"
19,181,Warren,Iowa,"41 20m 3.74446s N, 93 33m 40.8937s W"
42,73,Lawrence,Pennsylvania,"40 59m 28.3717s N, 80 20m 4.94545s W"
51,101,King William,Virginia,"37 42m 23.7456s N, 77 5m 18.7638s W"
41,11,Coos,Oregon,"43 11m 6.58375s N, 124 5m 35.9476s W"
48,165,Gaines,Texas,"32 44m 26.6197s N, 102 38m 6.62673s W"
22,47,Iberville,Louisiana,"30 15m 30.5959s N, 91 20m 57.7075s W"
12,37,Franklin,Florida,"29 48m 42.0609s N, 84 48m 1.64374s W"
38,23,Divide,North Dakota,"48 48m 53.5787s N, 103 29m 14.4082s W"
17,181,Union,Illinois,"37 28m 16.5778s N, 89 15m 18.4587s W"
45,13,Beaufort,South Carolina,"32 21m 25.3736s N, 80 41m 31.9161s W"
55,23,Crawford,Wisconsin,"43 14m 22.0643s N, 90 55m 51.7724s W"
48,303,Lubbock,Texas,"33 36m 36.742s N, 101 49m 13.965s W"
12,29,Dixie,Florida,"29 34m 52.4695s N, 83 11m 13.3168s W"
13,303,Washington,Georgia,"32 58m 10.3286s N, 82 47m 45.237s W"
53,63,Spokane,Washington,"47 37m 14.3915s N, 117 24m 14.2104s W"
54,55,Mercer,West Virginia,"37 24m 19.8541s N, 81 6m 41.2001s W"
12,33,Escambia,Florida,"30 36m 51.8257s N, 87 20m 28.9116s W"
40,103,Noble,Oklahoma,"36 23m 18.9585s N, 97 13m 49.8239s W"
37,187,Washington,North Carolina,"35 50m 21.3527s N, 76 34m 9.5156s W"
17,109,McDonough,Illinois,"40 27m 22.4325s N, 90 40m 40.3596s W"
34,25,Monmouth,New Jersey,"40 17m 15.0625s N, 74 9m 29.5286s W"
40,41,Delaware,Oklahoma,"36 24m 29.5679s N, 94 48m 9.56705s W"
20,11,Bourbon,Kansas,"37 51m 18.8122s N, 94 50m 57.4686s W"
6,29,Kern,California,"35 20m 34.2505s N, 118 43m 47.6415s W"
54,7,Braxton,West Virginia,"38 41m 59.5418s N, 80 43m 9.4373s W"
37,81,Guilford,North Carolina,"36 4m 46.0982s N, 79 47m 20.0554s W"
1,107,Pickens,Alabama,"33 16m 51.1568s N, 88 5m 19.2933s W"
8,107,Routt,Colorado,"40 29m 6.24459s N, 106 59m 28.2955s W"
51,590,Danville,Virginia,"36 34m 59.4885s N, 79 24m 31.7044s W"
54,87,Roane,West Virginia,"38 42m 50.4921s N, 81 20m 54.0583s W"
17,201,Winnebago,Illinois,"42 20m 10.5371s N, 89 9m 39.1171s W"
60,50,Western,American Samoa,"14 20m 7.99949s S, 170 47m 4.29812s W"
48,47,Brooks,Texas,"27 1m 53.6615s N, 98 13m 7.39603s W"
17,123,Marshall,Illinois,"41 1m 59.4161s N, 89 20m 41.2492s W"
26,69,Iosco,Michigan,"44 20m 13.5346s N, 83 5m 7.08239s W"
31,51,Dixon,Nebraska,"42 29m 35.1556s N, 96 52m 3.79498s W"
13,1,Appling,Georgia,"31 44m 57.4093s N, 82 17m 20.3409s W"
48,73,Cherokee,Texas,"31 50m 13.0367s N, 95 9m 54.6593s W"
27,23,Chippewa,Minnesota,"45 1m 20.4994s N, 95 34m 0.136993s W"
28,47,Harrison,Mississippi,"30 24m 57.7788s N, 89 4m 53.9137s W"
53,39,Klickitat,Washington,"45 52m 25.6996s N, 120 47m 21.1463s W"
30,67,Park,Montana,"45 29m 18.1757s N, 110 31m 35.9858s W"
13,149,Heard,Georgia,"33 17m 49.3022s N, 85 7m 41.7733s W"
48,297,Live Oak,Texas,"28 21m 4.93599s N, 98 7m 29.2283s W"
8,125,Yuma,Colorado,"40 0m 10.4376s N, 102 25m 27.2148s W"
16,5,Bannock,Idaho,"42 40m 6.54677s N, 112 13m 28.6276s W"
48,493,Wilson,Texas,"29 10m 26.4219s N, 98 5m 11.6638s W"
18,181,White,Indiana,"40 44m 59.1777s N, 86 51m 55.6898s W"
47,117,Marshall,Tennessee,"35 28m 7.9s N, 86 45m 54.0628s W"
55,141,Wood,Wisconsin,"44 27m 19.1925s N, 90 2m 29.5745s W"
13,67,Cobb,Georgia,"33 56m 29.3335s N, 84 34m 36.0633s W"
8,19,Clear Creek,Colorado,"39 41m 20.5939s N, 105 38m 39.7086s W"
48,217,Hill,Texas,"31 59m 26.4686s N, 97 7m 56.7361s W"
31,33,Cheyenne,Nebraska,"41 13m 11.2047s N, 102 59m 41.9235s W"
20,79,Harvey,Kansas,"38 2m 35.5865s N, 97 25m 38.1772s W"
72,27,Camuy,Puerto Rico,"18 26m 35.0755s N, 66 51m 45.4859s W"
51,115,Mathews,Virginia,"37 25m 2.31919s N, 76 16m 16.6315s W"
36,67,Onondaga,New York,"43 0m 20.8633s N, 76 11m 40.711s W"
49,7,Carbon,Utah,"39 38m 53.2981s N, 110 35m 19.6731s W"
42,27,Centre,Pennsylvania,"40 55m 9.64479s N, 77 49m 11.8566s W"
54,67,Nicholas,West Virginia,"38 17m 30.1253s N, 80 47m 57.5811s W"
18,145,Shelby,Indiana,"39 31m 25.2919s N, 85 47m 30.1214s W"
22,123,West Carroll,Louisiana,"32 47m 18.8179s N, 91 27m 24.2577s W"
54,9,Brooke,West Virginia,"40 16m 25.7453s N, 80 34m 35.1131s W"
29,171,Putnam,Missouri,"40 28m 44.0702s N, 93 0m 58.0565s W"
18,97,Marion,Indiana,"39 46m 54.1548s N, 86 8m 18.498s W"
72,59,Guayanilla,Puerto Rico,"18 0m 25.6314s N, 66 47m 49.6651s W"
48,475,Ward,Texas,"31 30m 34.076s N, 103 6m 8.73085s W"
16,29,Caribou,Idaho,"42 46m 13.8652s N, 111 33m 43.975s W"
5,11,Bradley,Arkansas,"33 27m 59.1208s N, 92 9m 44.6459s W"
16,21,Boundary,Idaho,"48 46m 0.816212s N, 116 27m 46.4524s W"
46,23,Charles Mix,South Dakota,"43 12m 28.4654s N, 98 35m 16.4179s W"
48,459,Upshur,Texas,"32 44m 10.5955s N, 94 56m 29.3443s W"
40,61,Haskell,Oklahoma,"35 13m 29.2127s N, 95 6m 59.9395s W"
51,165,Rockingham,Virginia,"38 30m 43.2378s N, 78 52m 32.7059s W"
37,9,Ashe,North Carolina,"36 26m 3.92892s N, 81 30m 1.8763s W"
51,177,Spotsylvania,Virginia,"38 11m 5.83561s N, 77 39m 21.7704s W"
56,35,Sublette,Wyoming,"42 46m 0.86395s N, 109 54m 52.9412s W"
48,479,Webb,Texas,"27 45m 39.8247s N, 99 19m 53.6351s W"
37,175,Transylvania,North Carolina,"35 12m 7.84031s N, 82 47m 53.8805s W"
48,61,Cameron,Texas,"26 9m 4.82857s N, 97 27m 10.6848s W"
37,55,Dare,North Carolina,"35 39m 53.7721s N, 75 41m 6.83993s W"
12,57,Hillsborough,Florida,"27 54m 22.4202s N, 82 20m 48.8982s W"
31,31,Cherry,Nebraska,"42 32m 41.7563s N, 101 7m 6.87681s W"
51,117,Mecklenburg,Virginia,"36 40m 49.2996s N, 78 21m 45.6991s W"
31,129,Nuckolls,Nebraska,"40 10m 34.9667s N, 98 2m 49.866s W"
39,3,Allen,Ohio,"40 46m 17.4745s N, 84 6m 20.806s W"
39,85,Lake,Ohio,"41 54m 37.2677s N, 81 15m 3.38127s W"
29,11,Barton,Missouri,"37 30m 8.2821s N, 94 20m 49.5988s W"
26,89,Leelanau,Michigan,"45 9m 6.37509s N, 86 2m 18.5858s W"
8,115,Sedgwick,Colorado,"40 52m 33.2579s N, 102 21m 6.4483s W"
31,89,Holt,Nebraska,"42 27m 20.5591s N, 98 47m 1.84095s W"
13,227,Pickens,Georgia,"34 27m 51.5512s N, 84 27m 56.3006s W"
28,69,Kemper,Mississippi,"32 45m 16.4086s N, 88 38m 28.1739s W"
17,83,Jersey,Illinois,"39 5m 7.81976s N, 90 21m 23.5019s W"
12,95,Orange,Florida,"28 30m 51.8985s N, 81 19m 24.5047s W"
48,181,Grayson,Texas,"33 37m 36.5108s N, 96 40m 39.8114s W"
48,107,Crosby,Texas,"33 36m 52.6501s N, 101 17m 59.8504s W"
72,151,Yabucoa,Puerto Rico,"18 3m 21.4786s N, 65 51m 47.8883s W"
