team_name	team_color_hex
Arizona Cardinals	#97233F
Atlanta Falcons	#000000
Baltimore Ravens	#241773
Buffalo Bills	#C60C30
Carolina Panthers	#0085CA
Chicago Bears	#0B162A
Cincinnati Bengals	#FB4F14
Cleveland Browns	#311D00
Dallas Cowboys	#869397
Denver Broncos	#FB4F14
Detroit Lions	#0076B6
Green Bay Packers	#203731
Houston Texans	#03202F
Indianapolis Colts	#002C5F
Jacksonville Jaguars	#D7A22A
Kansas City Chiefs	#E31837
Los Angeles Chargers	#0080C6
Los Angeles Rams	#FFA300
Miami Dolphins	#008E97
Minnesota Vikings	#4F2683
New England Patriots	#B0B7BC
New Orleans Saints	#D3BC8D
New York Giants	#0B2265
New York Jets	#125740
Las Vegas Raiders	#000000
Philadelphia Eagles	#004C54
Pittsburgh Steelers	#FFB612
San Francisco 49ers	#AA0000
Seattle Seahawks	#69BE28
Tampa Bay Buccaneers	#D50A0A
Tennessee Titans	#4B92DB
Washington Redskins	#5A1414
